n	Top_MD	Bottom_MD	Top_easting	Top_northing	Top_TVD	Bottom_easting	Bottom_northing	Bottom_TVD	Mid_MD	Mid_easting	Mid_northing	Mid_TVD
1	3374	3376	335769	432554	2258	335767	432554	2258	3375	335768	432554	2258
2	3356	3358	335787	432557	2260	335785	432557	2259	3357	335786	432557	2260
3	3338	3340	335804	432560	2261	335802	432560	2261	3339	335803	432560	2261
4	3321	3323	335821	432563	2264	335819	432563	2263	3322	335820	432563	2264
5	3303	3305	335839	432566	2266	335837	432566	2266	3304	335838	432566	2266
6	3285	3287	335856	432569	2269	335854	432568	2269	3286	335855	432568	2269
7	3268	3270	335873	432571	2272	335871	432571	2272	3269	335872	432571	2272
8	3250	3252	335890	432573	2275	335888	432573	2275	3251	335889	432573	2275
9	3233	3235	335907	432576	2278	335905	432575	2278	3234	335906	432576	2278
10	3215	3217	335924	432578	2281	335922	432578	2281	3216	335923	432578	2281
11	3197	3199	335942	432581	2283	335940	432581	2283	3198	335941	432581	2283
12	3180	3182	335959	432584	2285	335957	432584	2285	3181	335958	432584	2285
13	3162	3164	335976	432587	2287	335974	432587	2287	3163	335975	432587	2287
14	3144	3146	335993	432591	2289	335991	432590	2289	3145	335992	432591	2289
15	3127	3129	336010	432594	2291	336008	432594	2290	3128	336009	432594	2290
16	3109	3111	336028	432598	2292	336026	432598	2292	3110	336027	432598	2292
17	3091	3093	336045	432602	2293	336043	432601	2293	3092	336044	432601	2293
18	3074	3076	336062	432605	2294	336060	432605	2294	3075	336061	432605	2294
19	3056	3058	336079	432608	2296	336077	432608	2295	3057	336078	432608	2295
20	3033	3035	336102	432613	2297	336100	432612	2297	3034	336101	432613	2297
21	3015	3017	336120	432616	2299	336118	432616	2299	3016	336119	432616	2299
22	2997	3000	336137	432619	2301	336135	432619	2301	2999	336136	432619	2301
23	2980	2982	336154	432623	2303	336152	432622	2302	2981	336153	432623	2303
24	2962	2964	336171	432626	2305	336169	432626	2304	2963	336170	432626	2305
25	2945	2947	336188	432630	2306	336186	432629	2306	2946	336187	432630	2306
26	2927	2929	336205	432633	2307	336203	432633	2307	2928	336204	432633	2307
27	2910	2912	336223	432637	2309	336221	432636	2309	2911	336222	432636	2309
28	2892	2894	336239	432640	2310	336237	432640	2310	2893	336238	432640	2310
29	2875	2877	336256	432644	2311	336254	432644	2311	2876	336255	432644	2311
30	2857	2859	336274	432648	2313	336272	432647	2313	2858	336273	432648	2313
31	2840	2842	336291	432651	2314	336289	432651	2314	2841	336290	432651	2314
32	2822	2824	336308	432655	2316	336306	432654	2316	2823	336307	432654	2316
33	2804	2806	336325	432658	2318	336323	432657	2318	2805	336324	432658	2318
34	2787	2789	336342	432661	2319	336340	432660	2319	2788	336341	432661	2319
35	2769	2771	336360	432663	2321	336358	432663	2321	2770	336359	432663	2321
36	2751	2753	336377	432666	2322	336375	432665	2322	2752	336376	432665	2322
37	2734	2736	336395	432668	2323	336393	432667	2323	2735	336394	432667	2323
38	2716	2718	336412	432669	2323	336410	432669	2323	2717	336411	432669	2323
39	2699	2701	336430	432671	2323	336428	432671	2323	2700	336429	432671	2323
40	2681	2683	336447	432673	2322	336445	432673	2322	2682	336446	432673	2322
41	2663	2665	336465	432675	2322	336463	432675	2322	2664	336464	432675	2322
