name	stn	ste	stz
1	432915	337019	1561
2	432914	337002	1586
3	432914	336986	1611
4	432913	336969	1636
5	432913	336952	1661
6	432911	336934	1685
7	432908	336916	1709
8	432904	336898	1732
9	432901	336879	1756
10	432897	336860	1778
11	432894	336841	1801
12	432891	336822	1824
13	432888	336803	1847
14	432884	336784	1870
15	432881	336765	1893
16	432877	336745	1916
17	432874	336726	1938
18	432871	336707	1961
19	432869	336688	1985
20	432866	336669	2007
21	432867	336646	2027
22	432867	336622	2044
23	432866	336595	2058
24	432865	336567	2069
