name	stn	ste	stz rgb_orient  rgb_std_dev
1	432915	337019	1561    136.37	0.98
2	432914	337002	1586    -175.52	1.13
3	432914	336986	1611    -160.33	0.79
4	432913	336969	1636    85.28	1.97
5	432913	336952	1661    -44.21	1.16
6	432911	336934	1685    166.68	1.47
7	432908	336916	1709    -170.85	0.99
8	432904	336898	1732    165.3	1.41
9	432901	336879	1756    -111.14	0.84
10	432897	336860	1778    170.83	2.14
11	432894	336841	1801    90.99	0.87
12	432891	336822	1824    46.65	2.41
13	432888	336803	1847    162.47	1.43
14	432884	336784	1870    -158.29	1.96
15	432881	336765	1893    -135.64	1.81
16	432877	336745	1916    -166.14	1.01
17	432874	336726	1938    -98.55	1.91
18	432871	336707	1961    -122.69	2.95
19	432869	336688	1985    -160.09	2.03
20	432866	336669	2007    112.91	1.53
21	432867	336646	2027    86.85	1.17
22	432867	336622	2044    81.7	2.68
23	432866	336595	2058    166.65	2.49
24	432865	336567	2069    62.97	1.12
