MD	INCL	AZI	VD	NS	EW	VS	DS	e	n	TVD_MSL
0	0	0	0	0	0	0	0	337438	432752	-22
10	0	244	10	-0	-0	0	0	337438	432752	-12
20	0	85	20	-0	-0	0	0	337438	432752	-2
30	0	54	30	-0	-0	-0	0	337438	432752	8
40	0	54	40	0	0	-0	0	337438	432752	18
50	0	50	50	0	0	-0	0	337438	432752	28
60	0	57	60	0	0	-0	0	337438	432752	38
70	0	55	70	0	0	-0	0	337438	432752	48
80	0	45	80	0	0	-0	0	337438	432752	58
90	0	30	90	0	0	-0	0	337438	432752	68
100	0	25	100	0	0	-0	0	337438	432752	78
110	0	21	110	0	0	-0	0	337438	432752	88
120	0	9	120	0	0	-0	0	337438	432752	98
130	0	352	130	0	0	-0	0	337438	432753	108
140	0	345	140	0	0	-0	0	337438	432753	118
150	0	340	150	0	0	0	0	337438	432753	128
160	0	332	160	1	0	0	0	337438	432753	138
170	0	318	170	1	0	0	0	337438	432753	148
180	0	318	180	1	0	0	0	337438	432753	158
190	0	323	190	1	0	0	0	337438	432753	168
200	0	327	200	1	0	0	0	337438	432753	178
210	1	329	210	1	-0	0	0	337438	432753	188
220	1	331	220	1	-0	0	0	337438	432753	198
230	1	335	230	1	-0	1	0	337438	432753	208
240	1	343	240	1	-0	1	0	337438	432753	218
250	1	349	250	1	-0	1	0	337438	432753	228
260	1	351	260	1	-0	1	0	337438	432753	238
270	1	350	270	1	-0	1	0	337438	432754	248
280	1	331	280	1	-0	1	0	337438	432754	258
290	1	303	290	2	-0	1	0	337437	432754	268
300	1	291	300	2	-1	1	0	337437	432754	278
310	2	286	310	2	-1	1	0	337437	432754	288
320	2	280	320	2	-1	2	1	337437	432754	298
330	3	273	330	2	-2	2	1	337436	432754	308
340	4	271	340	2	-2	3	1	337436	432754	318
350	4	270	350	2	-3	3	1	337435	432754	328
360	5	269	360	2	-4	4	1	337434	432754	338
370	6	268	370	2	-5	5	1	337433	432754	348
380	6	266	380	2	-6	6	1	337432	432754	358
390	7	265	390	2	-7	7	1	337431	432754	368
400	8	264	400	2	-8	8	1	337430	432754	378
410	8	264	410	1	-9	9	0	337428	432754	388
420	9	264	419	1	-11	10	1	337427	432753	398
430	9	264	429	1	-12	12	1	337425	432753	408
440	10	264	439	1	-14	13	1	337424	432753	418
450	11	264	449	1	-16	15	1	337422	432753	427
460	12	264	459	0	-18	16	1	337420	432753	437
470	12	264	469	0	-20	18	1	337418	432752	447
480	13	263	478	0	-22	20	1	337416	432752	457
490	14	262	488	-0	-24	22	1	337413	432752	466
500	15	262	498	-1	-27	24	1	337411	432752	476
510	15	262	507	-1	-29	26	1	337408	432751	486
520	16	263	517	-1	-32	28	1	337406	432751	495
530	16	263	527	-2	-35	30	1	337403	432751	505
540	17	263	536	-2	-38	33	0	337400	432750	515
550	17	263	546	-2	-41	35	0	337397	432750	524
560	17	263	555	-3	-43	38	0	337394	432749	534
570	17	263	565	-3	-46	40	0	337391	432749	543
580	17	263	575	-3	-49	43	0	337388	432749	553
590	17	264	584	-4	-52	45	0	337386	432748	562
600	17	264	594	-4	-55	48	0	337383	432748	572
610	18	264	603	-4	-58	50	0	337380	432748	582
620	18	264	613	-5	-61	53	0	337377	432747	591
630	18	264	622	-5	-64	55	0	337373	432747	601
640	18	264	632	-5	-67	58	0	337370	432747	610
650	18	264	641	-6	-70	60	0	337367	432746	620
660	18	265	651	-6	-74	63	0	337364	432746	629
670	18	265	660	-6	-77	66	0	337361	432746	639
680	19	265	670	-7	-80	68	0	337358	432746	648
690	19	265	679	-7	-83	71	0	337355	432745	658
700	19	265	689	-7	-86	74	0	337352	432745	667
710	19	265	698	-7	-89	77	0	337348	432745	676
720	19	265	708	-8	-93	79	0	337345	432744	686
730	19	265	717	-8	-96	82	0	337342	432744	695
740	19	265	726	-8	-99	85	0	337339	432744	705
750	19	265	736	-9	-102	88	0	337335	432744	714
760	19	265	745	-9	-106	91	0	337332	432743	724
770	19	265	755	-9	-109	93	0	337329	432743	733
780	20	265	764	-9	-112	96	0	337325	432743	743
790	20	265	774	-10	-116	99	0	337322	432743	752
800	20	266	783	-10	-119	102	0	337319	432742	761
810	20	266	792	-10	-122	105	0	337315	432742	771
820	20	266	802	-10	-126	108	0	337312	432742	780
