n	Start_MD	End_MD	Start_e	Start_n	Start_TVD_MSL	End_e	End_n	End_TVD_MSL	Mid_e	Mid_n	Mid_TVD_MSL
1	2441	2446	336493	432862	2084	336493	432862	2084	336493	432862	2084
2	2455	2460	336479	432861	2085	336479	432861	2085	336479	432861	2085
3	2469	2474	336466	432860	2087	336466	432860	2087	336466	432860	2087
4	2484	2489	336453	432860	2089	336453	432860	2089	336453	432860	2089
5	2499	2504	336440	432859	2090	336440	432859	2090	336440	432859	2090
6	2513	2518	336426	432858	2091	336426	432858	2091	336426	432858	2091
7	2528	2533	336412	432857	2092	336399	432856	2093	336406	432857	2093
8	2542	2547	336399	432856	2093	336386	432855	2093	336392	432855	2093
9	2556	2561	336386	432855	2093	336372	432853	2094	336379	432854	2094
10	2570	2575	336372	432853	2094	336359	432851	2094	336366	432852	2094
11	2584	2589	336359	432851	2094	336346	432849	2095	336352	432850	2094
12	2599	2604	336346	432849	2095	336332	432847	2095	336339	432848	2095
13	2613	2618	336332	432847	2095	336319	432844	2095	336326	432845	2095
14	2627	2632	336319	432844	2095	336306	432841	2095	336312	432843	2095
15	2641	2646	336292	432838	2095	336292	432838	2095	336292	432838	2095
16	2656	2661	336292	432838	2095	336275	432834	2095	336283	432836	2095
17	2670	2675	336275	432834	2095	336261	432831	2094	336268	432833	2094
18	2685	2690	336261	432831	2094	336248	432828	2094	336255	432830	2094
19	2698	2703	336248	432828	2094	336235	432825	2094	336242	432827	2094
20	2713	2718	336235	432825	2094	336222	432822	2093	336228	432824	2093
21	2727	2732	336209	432819	2092	336209	432819	2092	336209	432819	2092
22	2742	2747	336195	432816	2092	336195	432816	2092	336195	432816	2092
23	2759	2764	336182	432813	2092	336182	432813	2092	336182	432813	2092
24	2773	2778	336172	432811	2091	336159	432808	2091	336166	432810	2091
25	2787	2792	336159	432808	2091	336146	432805	2091	336153	432807	2091
26	2802	2807	336146	432805	2091	336133	432802	2090	336139	432804	2091
27	2816	2821	336133	432802	2090	336119	432800	2090	336126	432801	2090
28	2831	2836	336119	432800	2090	336106	432797	2090	336113	432798	2090
29	2845	2850	336106	432797	2090	336093	432794	2089	336100	432795	2089
30	2860	2865	336080	432791	2088	336080	432791	2088	336080	432791	2088
31	2874	2879	336067	432789	2087	336067	432789	2087	336067	432789	2087
32	2888	2893	336053	432786	2086	336053	432786	2086	336053	432786	2086
33	2903	2908	336040	432783	2086	336040	432783	2086	336040	432783	2086
34	2917	2922	336027	432780	2085	336027	432780	2085	336027	432780	2085
35	2931	2936	336014	432778	2084	336014	432778	2084	336014	432778	2084
36	2946	2951	336001	432774	2083	336001	432774	2083	336001	432774	2083
37	2960	2965	335988	432771	2083	335988	432771	2083	335988	432771	2083
38	2975	2980	335975	432767	2084	335975	432767	2084	335975	432767	2084
39	2990	2995	335962	432764	2084	335949	432760	2084	335955	432762	2084
40	3004	3009	335949	432760	2084	335936	432756	2085	335942	432758	2084
41	3019	3024	335936	432756	2085	335921	432752	2085	335928	432754	2085
42	3033	3038	335921	432752	2085	335908	432748	2085	335914	432750	2085
43	3048	3053	335908	432748	2085	335894	432744	2084	335901	432746	2085
44	3063	3068	335884	432741	2084	335884	432741	2084	335884	432741	2084
45	3077	3082	335871	432738	2084	335871	432738	2084	335871	432738	2084
46	3092	3097	335858	432734	2083	335858	432734	2083	335858	432734	2083
47	3106	3111	335845	432731	2082	335845	432731	2082	335845	432731	2082
