MD	Inc	Az	TVD	N_Offset	E_Offset	VS	DLS	Easting	Northing	TVD_MSL	e	n
0	0	0	0	0	0	0	0	337438	432752	-22	337438	432752
64	1	235	64	-0	-0	0	0	337437	432752	42	337437	432752
72	1	241	72	-0	-0	0	0	337437	432752	50	337437	432752
84	1	228	84	-0	-1	1	0	337437	432752	63	337437	432752
98	0	223	98	-1	-1	1	1	337437	432752	77	337437	432752
111	0	240	111	-1	-1	1	1	337437	432752	89	337437	432752
123	1	27	123	-1	-1	1	2	337437	432752	102	337437	432752
128	1	29	128	-0	-1	1	1	337437	432752	107	337437	432752
142	1	36	142	-0	-1	1	0	337437	432752	120	337437	432752
155	1	38	155	-0	-1	0	0	337437	432752	134	337437	432752
169	1	34	169	0	-0	0	1	337437	432752	147	337437	432752
181	1	33	181	0	-0	0	0	337438	432752	160	337438	432752
196	1	36	196	1	-0	0	0	337438	432753	174	337438	432753
208	2	37	208	1	0	-0	0	337438	432753	187	337438	432753
222	2	30	222	1	0	-0	1	337438	432753	201	337438	432753
236	2	23	236	2	1	-0	1	337438	432754	215	337438	432754
243	2	20	243	2	1	-0	1	337438	432754	221	337438	432754
271	3	27	271	3	1	-1	0	337439	432755	249	337439	432755
285	3	23	285	4	1	-1	0	337439	432756	264	337439	432756
299	3	20	299	4	2	-1	0	337439	432756	277	337439	432756
312	3	12	312	5	2	-1	1	337440	432757	291	337440	432757
326	3	4	326	5	2	-1	1	337440	432758	304	337440	432758
339	4	356	339	6	2	-1	2	337440	432758	318	337440	432758
353	5	349	353	7	2	-0	2	337440	432759	331	337440	432759
366	5	343	366	8	2	0	2	337439	432761	345	337439	432761
380	6	337	380	10	1	1	2	337439	432762	358	337439	432762
394	6	331	393	11	0	2	2	337438	432763	372	337438	432763
407	7	324	407	12	-0	3	2	337437	432764	385	337437	432764
421	7	318	420	14	-1	4	2	337436	432766	399	337436	432766
434	8	312	434	15	-3	5	2	337435	432767	412	337435	432767
448	8	308	447	16	-4	7	2	337434	432768	425	337434	432768
461	9	309	460	17	-6	9	1	337432	432769	439	337432	432769
475	9	309	474	19	-7	11	1	337431	432771	452	337431	432771
488	10	309	487	20	-9	13	2	337429	432772	465	337429	432772
502	11	309	500	22	-11	15	2	337427	432774	479	337427	432774
516	12	309	514	23	-13	17	2	337425	432775	492	337425	432775
529	13	307	527	25	-15	20	2	337423	432777	505	337423	432777
