,time,lat,lon,depth,xx,yy
0,2018-10-15T11:07:30.163800Z,53.788733,-2.957787,1.624219,336996.61697,432916.343885
1,2018-10-15T15:19:54.041100Z,53.788426,-2.959865,1.813281,336859.256147,432884.037679
2,2018-10-15T06:36:39.231400Z,53.788963,-2.96337,2.921875,336629.155337,432946.909701
3,2018-10-16T11:36:08.959900Z,53.791188,-2.953111,2.552344,337308.34002,433185.329146
4,2018-10-16T11:41:46.889900Z,53.788503,-2.961553,1.976563,336748.165675,432894.109353
5,2018-10-16T14:06:43.842900Z,53.787582,-2.969343,2.526563,336233.557493,432798.623331
6,2018-10-16T14:20:56.753800Z,53.794716,-2.959601,2.414844,336886.108881,433583.597673
7,2018-10-16T14:26:02.472500Z,53.78858,-2.960384,1.658594,336825.295893,432901.63343
8,2018-10-16T14:37:50.516600Z,53.783594,-2.959998,1.735938,336843.224146,432346.5716
9,2018-10-16T17:55:03.235700Z,53.780065,-2.951432,2.40625,337402.360944,431946.354176
10,2018-10-16T21:20:11.148200Z,53.787429,-2.970122,2.54375,336182.002865,432782.302404
11,2018-10-16T06:34:49.573500Z,53.792492,-2.944929,2.251563,337849.271771,433323.19995
12,2018-10-17T16:40:33.158400Z,53.798168,-2.955053,1.615625,337190.856846,433963.610574
13,2018-10-17T16:42:43.907500Z,53.789577,-2.943634,2.371875,337930.267832,432997.755811
14,2018-10-17T17:03:14.252700Z,53.787122,-2.974797,2.440625,335873.534899,432752.366408
15,2018-10-17T17:10:36.933200Z,53.786048,-2.974537,2.010938,335889.024031,432632.643402
16,2018-10-17T17:11:36.684800Z,53.788426,-2.961942,1.967969,336722.422071,432885.889919
17,2018-10-17T17:35:09.802400Z,53.792492,-2.957395,2.973438,337028.082519,433334.203782
18,2018-10-17T18:10:14.822400Z,53.790037,-2.967265,1.667188,336374.181813,433069.887093
19,2018-10-17T18:19:26.747200Z,53.788618,-2.95993,1.783203,336855.262763,432905.456569
20,2018-10-17T18:53:11.123100Z,53.797554,-2.956092,2.303125,337121.502534,433896.221124
21,2018-10-17T18:53:11.431300Z,53.788886,-2.959345,1.744531,336894.205716,432934.75194
22,2018-10-17T19:27:12.237700Z,53.788733,-2.96376,1.796094,336603.114815,432921.669786
23,2018-10-17T19:53:02.451700Z,53.788733,-2.97155,1.744531,336089.908734,432928.66558
24,2018-10-17T20:06:20.216800Z,53.78858,-2.961682,1.882031,336739.783145,432902.791123
25,2018-10-17T20:46:36.686900Z,53.78858,-2.960124,1.796094,336842.424796,432901.401723
26,2018-10-17T23:33:19.924200Z,53.788158,-2.963435,2.075391,336623.657632,432857.407464
27,2018-10-18T14:51:16.452400Z,53.789884,-2.986741,1.71875,335090.904984,433070.524163
28,2018-10-18T15:00:58.650200Z,53.799702,-2.957649,1.58125,337022.172968,434136.580132
29,2018-10-18T15:15:22.102200Z,53.789117,-2.960513,1.839063,336817.605717,432961.492421
30,2018-10-18T15:21:41.169500Z,53.788771,-2.961098,1.903516,336778.544997,432923.519785
31,2018-10-18T16:54:20.342800Z,53.788503,-2.960514,1.839063,336816.615527,432893.182663
32,2018-10-18T17:01:13.687800Z,53.7895,-2.958046,1.417969,336980.705679,433001.906846
33,2018-10-18T17:35:00.537900Z,53.787506,-2.961683,1.916406,336738.098524,432783.304033
34,2018-10-18T01:18:27.795200Z,53.792568,-2.963757,1.967969,336609.105254,433348.330532
35,2018-10-18T21:10:47.334300Z,53.791341,-2.964018,2.208594,336590.058181,433212.053928
36,2018-10-18T21:49:54.840000Z,53.787736,-2.969603,2.578125,336216.662218,432815.990538
37,2018-10-18T22:06:18.376000Z,53.788273,-2.96376,2.174219,336602.419998,432870.492443
38,2018-10-18T22:18:43.661000Z,53.784821,-2.962074,2.010938,336708.290237,432484.933225
39,2018-10-18T23:45:06.173600Z,53.78881,-2.959994,2.045313,336851.3353,432926.874573
40,2018-10-19T09:53:01.848100Z,53.788119,-2.964539,2.157031,336550.866013,432854.05621
41,2018-10-19T11:10:30.868200Z,53.790958,-2.959473,2.423438,336888.88892,433165.386603
42,2018-10-19T11:14:22.617800Z,53.788196,-2.958956,1.735938,336918.795975,432857.639623
43,2018-10-19T11:19:20.470300Z,53.791648,-2.957785,1.658594,337001.124556,433240.650962
