,time,lat,lon,depth,xx,yy
0,2018-10-15T00:33:38.117300Z,53.788618,-2.95915,1.723047,336906.649429,432904.761964
1,2018-10-15T01:18:30.649200Z,53.786125,-2.962982,1.899219,336650.433488,432630.820947
2,2018-10-15T01:18:30.806200Z,53.789117,-2.961552,1.942188,336749.156864,432962.419105
3,2018-10-15T01:29:32.675600Z,53.788196,-2.968824,2.526563,336268.682498,432866.467139
4,2018-10-15T01:37:20.088000Z,53.788273,-2.962721,1.950781,336670.870211,432869.563623
5,2018-10-15T01:38:18.745000Z,53.788196,-2.962591,2.010938,336679.318559,432860.880836
6,2018-10-15T01:38:19.890900Z,53.802732,-2.987715,1.276172,335046.630447,434500.82072
7,2018-10-15T02:15:11.320400Z,53.788158,-2.962656,1.998047,336674.978963,432856.711212
8,2018-10-15T05:47:15.881300Z,53.785358,-2.955453,1.796094,337145.327492,432538.785617
9,2018-10-15T06:36:39.230900Z,53.792415,-2.960901,1.692969,336797.011354,433328.757884
10,2018-10-15T06:36:39.395000Z,53.790881,-2.965317,1.538281,336503.789237,433162.039501
11,2018-10-15T06:36:39.639500Z,53.78904,-2.960903,1.710156,336791.796729,432953.273499
12,2018-10-15T06:36:40.064200Z,53.78881,-2.948568,0.635938,337604.080982,432916.75528
13,2018-10-15T06:36:40.438400Z,53.786432,-2.960645,1.624219,336804.867145,432662.890126
14,2018-10-15T07:22:22.929700Z,53.794486,-2.974794,2.303125,335884.983316,433571.645699
15,2018-10-15T08:07:01.252500Z,53.788119,-2.966876,2.225781,336396.901913,432856.150739
16,2018-10-15T08:18:47.598300Z,53.788196,-2.959995,1.804688,336850.345613,432858.564815
17,2018-10-15T08:18:48.401500Z,53.787122,-2.960255,1.546875,336831.600224,432739.308502
18,2018-10-15T08:18:48.789100Z,53.78881,-2.956878,1.598438,337056.617524,432924.102913
19,2018-10-15T09:13:28.567400Z,53.788656,-2.94727,0.06875,337689.364726,432898.480075
20,2018-10-15T09:14:01.230500Z,53.788656,-2.957657,1.58125,337005.065822,432907.66169
21,2018-10-15T09:14:03.640100Z,53.787966,-2.955191,1.607031,337166.493682,432828.706731
22,2018-10-15T09:15:10.058500Z,53.790344,-2.945451,1.701562,337811.702374,433084.681394
