,Depth,VP,VS
0,-32.0,1743.6503,1041.6727
1,32.4,1743.6503,1041.6727
2,47.52,1858.6018,1110.345
3,62.64,1990.6248,1189.2168
4,77.76,1999.295,1194.3965
5,92.78,2287.6608,1366.6688
6,107.9,2479.644,1481.3608
7,123.02,2616.1982,1562.939
8,138.14,2880.3607,1720.754
9,153.49,3124.5418,1866.628
10,168.61,3059.0073,1827.4782
11,183.73,3497.5235,2089.4525
12,198.85,3222.3257,1925.0455
13,213.71,3039.8975,1816.0597
14,228.83,2947.438,1760.8255
15,243.95,2897.218,1730.8235
16,259.07,2974.0243,1776.7083
17,274.43,2858.5673,1707.7327
18,289.54,2588.5945,1546.449
19,304.64,2603.737,1555.496
20,319.7401,3194.1205,1908.1945
21,334.75,2955.724,1765.7745
22,349.8001,2469.4533,1475.273
23,364.82,3176.9123,1897.915
24,379.8201,3298.512,1970.5598
25,394.7501,2816.0977,1682.3612
26,409.66,3004.959,1795.1888
27,424.53,2777.5055,1659.3057
28,439.3399,3330.2382,1989.5122
29,454.17,2709.1965,1618.4972
30,468.8699,3520.2258,2103.0132
31,483.4899,2955.3688,1765.5643
32,498.0301,3128.586,1869.046
33,512.3499,2847.6145,1701.1888
34,526.82,3520.816,2103.365
35,541.28,2652.0747,1584.3735
36,555.7199,3176.5395,1897.691
37,570.0799,3384.953,2022.2007
38,584.49,3241.4733,1936.484
39,598.8799,3415.2875,2040.3222
40,613.2701,3521.0312,2103.4945
41,627.6999,3660.4057,2186.759
42,642.0499,3609.899,2156.5855
43,656.3801,3725.6997,2225.7638
44,670.6999,3688.0943,2203.2983
45,684.9801,3732.4855,2229.819
46,699.2801,3871.4847,2312.8573
47,713.56,3620.9882,2163.211
48,727.82,3710.0043,2216.388
49,742.11,3791.97,2265.356
50,756.3399,3862.9915,2307.7847
51,770.56,3898.118,2328.7703
52,784.76,3902.1137,2331.158
53,799.0801,3945.1885,2356.8912
54,813.26,4024.8488,2404.48
55,827.44,3998.938,2389.0003
56,841.6101,3993.9765,2386.0352
57,855.6501,4173.9625,2493.5625
58,869.78,4066.9797,2429.6483
59,883.8901,4099.7755,2449.242
60,897.9801,4102.331,2450.7677
61,912.16,4271.5482,2551.8582
62,926.2201,4081.788,2438.495
63,940.28,4145.503,2476.5613
64,954.33,4247.6028,2537.5538
65,968.2999,4261.3938,2545.794
66,982.35,4408.8157,2633.8655
67,996.4,4284.4115,2559.5443
68,1010.45,4201.3178,2509.9043
69,1024.63,4340.011,2592.7598
70,1038.69,4294.1553,2565.3665
71,1052.76,4180.405,2497.41
72,1066.83,4429.62,2646.2922
73,1080.38,4306.5565,2572.7735
74,1094.46,4404.3888,2631.2217
75,1108.59,4664.8893,2786.8465
76,1122.73,4370.7222,2611.1075
77,1137.1,4811.0722,2874.176
78,1151.33,4136.171,2470.985
79,1165.59,4291.185,2563.5898
80,1171.115,4312.5418,2493.1015
81,1177.031,4269.584,2408.804
82,1182.67,4171.8872,2323.7228
83,1187.162,4146.8392,2300.1602
84,1193.548,4130.9793,2294.636
85,1200.824,4101.7213,2294.2738
86,1205.783,4113.5873,2340.5267
87,1210.016,4146.841,2403.8955
88,1215.283,4097.691,2392.842
89,1222.022,4011.886,2341.3863
90,1225.543,4150.1312,2430.9028
91,1234.053,4682.2995,2767.4583
92,1237.573,5272.785,3156.4243
93,1243.148,5294.2427,3088.9158
94,1250.637,4492.4633,2481.4565
95,1256.511,4341.4315,2406.7225
96,1263.853,4982.6578,2927.889
97,1272.51,4983.6672,3038.3548
98,1277.197,4750.0645,2896.5748
99,1281.736,4655.9355,2842.5397
100,1287.588,4664.0885,2842.0108
101,1291.093,4711.5993,2854.4482
102,1297.966,4772.0077,2886.6585
103,1301.478,4766.3677,2928.6258
104,1310.701,4625.4677,2919.356
105,1314.95,4559.4327,2943.9187
106,1320.369,4619.3203,3025.0332
107,1323.74,4687.6062,3098.2378
108,1327.258,4708.684,3139.657
109,1331.071,4729.4827,3152.0555
110,1337.087,4841.2245,3201.1622
111,1345.168,4841.685,3251.162
112,1350.886,4761.4915,3203.8808
113,1355.711,4724.6965,2962.9952
114,1365.172,4792.788,2828.6557
115,1369.802,4860.1263,2864.9952
116,1375.568,4921.1058,2900.8825
117,1380.168,4951.491,2930.2385
118,1383.755,4902.0965,2976.2685
119,1389.922,4807.6708,3001.6825
120,1395.658,4788.8545,2975.7782
121,1399.099,4792.7365,2959.2985
122,1403.833,4755.5683,2968.4725
123,1408.42,4732.8787,3011.1323
124,1414.443,4794.8283,3032.962
125,1419.74,4858.7625,3016.7425
126,1423.748,4926.4075,3047.849
127,1427.756,5048.4065,3172.1553
128,1432.907,5118.2128,3275.4515
129,1437.772,4988.7383,3190.3815
130,1443.21,4781.935,3015.9015
131,1451.79,4908.0197,3046.693
132,1461.934,4998.4407,3136.0728
133,1468.923,4857.0168,3162.4143
134,1474.622,4779.71,3199.562
135,1478.182,4770.5807,3230.261
136,1482.453,4764.0318,3206.2908
137,1486.01,4763.206,3130.4195
138,1489.707,4791.2862,3052.6578
139,1493.404,4851.6602,3014.8392
140,1497.812,4908.9077,3022.8472
141,1502.932,4887.182,3064.104
142,1509.473,4883.7828,3126.8065
143,1516.444,4886.4457,3199.5102
144,1520.144,4858.109,3167.3965
145,1528.688,5032.9728,3074.074
146,1535.524,5178.5662,3093.6505
147,1541.937,4893.228,2977.1447
148,1550.49,4483.2515,2720.9735
149,1559.305,4514.8413,2762.6593
150,1565.118,4615.8715,2896.6688
151,1568.373,4683.6787,2979.9423
152,1571.768,4778.9717,3079.9018
153,1578.132,4854.1662,3186.981
154,1582.375,4914.4462,3179.087
155,1590.023,5034.2347,3117.8195
156,1597.536,5178.0235,3148.5003
157,1601.651,5203.7783,3171.7218
158,1606.903,4962.7063,3138.33
159,1614.151,4729.6388,3107.9365
160,1619.988,4691.1895,3133.7365
161,1627.4,4721.8765,3118.9317
162,1632.96,4768.6133,3108.5248
163,1638.666,4799.148,3117.5665
164,1643.799,4812.3827,3122.2017
165,1647.788,4746.7435,3070.375
166,1656.609,4552.1517,2943.6785
167,1660.447,4442.4118,2876.825
168,1663.854,4493.3335,2835.6425
169,1670.371,4652.9267,2820.3025
170,1675.034,4615.935,2783.1242
171,1678.424,4481.9865,2732.6062
172,1681.667,4364.0507,2682.0418
173,1688.982,4411.7908,2688.155
174,1694.459,4445.7305,2683.4417
175,1701.75,4349.053,2677.894
176,1707.919,4304.8308,2718.6782
177,1712.964,4292.6437,2694.8295
178,1717.447,4275.7532,2626.353
179,1721.788,4254.3772,2571.1405
180,1728.368,4271.1925,2566.6728
181,1737.634,4460.332,2666.6283
182,1743.544,4600.6948,2773.1595
183,1750.86,4507.1115,2732.459
184,1754.243,4467.3418,2672.095
185,1761.04,4686.107,2709.9158
186,1769.568,4724.6043,2735.0715
187,1773.552,4648.7793,2757.0715
188,1778.956,4613.4005,2788.6273
189,1784.503,4648.87,2788.6118
190,1793.199,4700.5395,2779.003
